metric_mode,split_label,timerange,w_social,trades,winrate,pf_base,maxdd_base,proxy_score_base,pf,profit_pct,maxdd,proxy_score,delta_proxy_score,uplift_vs_base_pf,uplift_vs_base_profit_pct,social_coverage,social_diversity,social_hype_risk,split_rows,source_dominance_share,token_mapping_rate,active_hour_ratio,author_dominance_share,kol_coverage,kol_top1_share
proxy_structural_no_new_backtest,WF_L_TEST,20250615-20251015,0.05,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_L_TEST,20250615-20251015,0.1,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_L_TEST,20250615-20251015,0.2,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_L_TEST,20250615-20251015,0.3,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_M_TEST,20250715-20251115,0.0,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_M_TEST,20250715-20251115,0.05,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_M_TEST,20250715-20251115,0.1,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_M_TEST,20250715-20251115,0.2,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_M_TEST,20250715-20251115,0.3,6,83.33333333333334,11.44959,0.021226,11.211613,11.44959,0.222231,0.021226,11.211613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_N_TEST,20250815-20251215,0.0,5,80.0,8.628057,0.021239,8.448619,8.628057,0.162226,0.021239,8.448619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_N_TEST,20250815-20251215,0.05,5,80.0,8.628057,0.021239,8.448619,8.628057,0.162226,0.021239,8.448619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_N_TEST,20250815-20251215,0.1,5,80.0,8.628057,0.021239,8.448619,8.628057,0.162226,0.021239,8.448619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_N_TEST,20250815-20251215,0.2,5,80.0,8.628057,0.021239,8.448619,8.628057,0.162226,0.021239,8.448619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_N_TEST,20250815-20251215,0.3,5,80.0,8.628057,0.021239,8.448619,8.628057,0.162226,0.021239,8.448619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_O_TEST,20250915-20260115,0.0,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_O_TEST,20250915-20260115,0.05,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_O_TEST,20250915-20260115,0.1,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_O_TEST,20250915-20260115,0.2,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proxy_structural_no_new_backtest,WF_O_TEST,20250915-20260115,0.3,5,80.0,8.581905,0.021251,8.403323,8.581905,0.161244,0.021251,8.403323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
