experiment_id,created_at,strategy_name,timeframe,universe_label,timerange,trades,profit_total_pct,profit_factor,max_drawdown_pct,status,split_label,idea_spec_id,robustness_score,robustness_flags,notes_short
20260220T174750Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-fee-p100-20260220,2026-02-20T17:47:50+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_fee_p100_20260220,20250101-20260201,27,-0.040363484000000005,0.9083792184595672,0.31751553300000523,success,,,,,PF<1; pairs=15
20260220T175456Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-g-ext,2026-02-20T17:54:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_G_EXT,20250115-20250515,13,-0.181571064,0.1597638441665888,0.20622255299999778,success,WF_G_TEST,,,,PF<1; OOS fail; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-h-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_H_EXT,20250215-20250615,12,-0.018656114000000005,0.89204907529222,0.13055290099999864,success,WF_H_TEST,,,,PF<1; OOS fail; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-i-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_I_EXT,20250315-20250715,10,0.03755671700000001,1.3220780705391193,0.0743400700000052,success,WF_I_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-j-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_J_EXT,20250415-20250815,12,0.064986465,1.4356148982446717,0.08284835599999951,success,WF_J_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-k-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_K_EXT,20250515-20250915,7,0.18315936800000002,4.243928195943574,0.04550229056376864,success,WF_K_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T175457Z_strat03rsibbmeanreversion-v3c_1h_top15-mr1h-effective-wf-l-ext,2026-02-20T17:54:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top15_mr1h_effective_WF_L_EXT,20250615-20251015,7,0.19816391400000002,5.371149158945397,0.02406751199999917,success,WF_L_TEST,,,,PF>1 low trades; OOS pass; pairs=15
20260220T181256Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-d-ext,2026-02-20T18:12:56+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_D_EXT,20250101-20250430,15,-0.32407144300000007,0.09627615817040502,0.3585956549999992,success,WF_D_TEST,,,,PF<1; OOS fail; pairs=19
20260220T181257Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-e-ext,2026-02-20T18:12:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_E_EXT,20250401-20250731,12,0.073494751,1.5224435567293062,0.0743400700000052,success,WF_E_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T181257Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-f-ext,2026-02-20T18:12:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_F_EXT,20250701-20251031,11,0.099853237,1.4908005286455666,0.08342766136903054,success,WF_F_TEST,,,,PF>1 low trades; OOS pass; pairs=19
20260220T181257Z_strat03rsibbmeanreversion-v3c_1h_top20-mr1h-effective-wf-g-ext,2026-02-20T18:12:57+00:00,Strat03RSIBBMeanReversion_v3c,1h,top20_mr1h_effective_WF_G_EXT,20250115-20250515,14,-0.23642666400000006,0.12741871334640006,0.26107815300000536,success,WF_G_TEST,,,,PF<1; OOS fail; pairs=19
